DATE OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex
01/14/2025 12:00:00 AM,Topanga,BATTERY - SIMPLE ASSAULT,12,F
02/25/2025 12:00:00 AM,Northeast,OTHER MISCELLANEOUS CRIME,0,X
03/27/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
03/06/2025 12:00:00 AM,Harbor,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/18/2025 12:00:00 AM,Newton,ROBBERY,15,M
02/08/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/06/2025 12:00:00 AM,Southeast,CHILD ANNOYING (17YRS & UNDER),16,F
01/18/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/23/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
03/02/2025 12:00:00 AM,West Valley,OTHER MISCELLANEOUS CRIME,0,M
01/24/2025 12:00:00 AM,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
02/28/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,53,M
01/20/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/20/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/31/2025 12:00:00 AM,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",10,M
02/25/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/05/2025 12:00:00 AM,Hollenbeck,VEHICLE - STOLEN,0,
01/30/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/19/2025 12:00:00 AM,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
02/06/2025 12:00:00 AM,Newton,ROBBERY,16,M
02/26/2025 12:00:00 AM,Harbor,OTHER MISCELLANEOUS CRIME,0,X
01/16/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/30/2025 12:00:00 AM,Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",42,M
03/04/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/21/2025 12:00:00 AM,Wilshire,ROBBERY,16,M
01/01/2025 12:00:00 AM,Pacific,VEHICLE - STOLEN,0,
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/14/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/18/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/18/2025 12:00:00 AM,Mission,BURGLARY,0,X
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/14/2025 12:00:00 AM,Northeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
03/01/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/24/2025 12:00:00 AM,Southeast,ARSON,0,X
02/06/2025 12:00:00 AM,West LA,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,M
03/27/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
01/27/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/10/2025 12:00:00 AM,Mission,BATTERY - SIMPLE ASSAULT,17,F
03/06/2025 12:00:00 AM,Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
03/12/2025 12:00:00 AM,Northeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,14,F
01/23/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/14/2025 12:00:00 AM,Pacific,VEHICLE - STOLEN,0,
03/06/2025 12:00:00 AM,Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
01/27/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/24/2025 12:00:00 AM,Devonshire,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",15,F
02/03/2025 12:00:00 AM,Northeast,BURGLARY FROM VEHICLE,32,M
01/15/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M
02/14/2025 12:00:00 AM,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,13,M
02/08/2025 12:00:00 AM,Hollenbeck,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
02/26/2025 12:00:00 AM,West LA,CRIMINAL THREATS - NO WEAPON DISPLAYED,0,X
03/06/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/24/2025 12:00:00 AM,Southeast,BATTERY - SIMPLE ASSAULT,14,M
03/27/2025 12:00:00 AM,Harbor,VEHICLE - ATTEMPT STOLEN,32,F
01/22/2025 12:00:00 AM,Newton,INDECENT EXPOSURE,13,F
02/21/2025 12:00:00 AM,Foothill,BATTERY - SIMPLE ASSAULT,13,M
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/15/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
03/08/2025 12:00:00 AM,Devonshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X
02/21/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/07/2025 12:00:00 AM,Harbor,"RAPE, FORCIBLE",13,F
02/04/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/21/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/15/2025 12:00:00 AM,Harbor,BURGLARY,51,M
01/29/2025 12:00:00 AM,Mission,ROBBERY,16,F
01/21/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/30/2025 12:00:00 AM,Northeast,BURGLARY FROM VEHICLE,30,F
03/12/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/05/2025 12:00:00 AM,Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
03/16/2025 12:00:00 AM,West Valley,TRESPASSING,0,M
01/26/2025 12:00:00 AM,Hollenbeck,BURGLARY,0,X
02/06/2025 12:00:00 AM,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,54,M
01/23/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/19/2025 12:00:00 AM,Mission,CHILD ANNOYING (17YRS & UNDER),17,F
01/13/2025 12:00:00 AM,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",13,M
03/17/2025 12:00:00 AM,Devonshire,BURGLARY,0,M
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/06/2025 12:00:00 AM,West Valley,VIOLATION OF COURT ORDER,29,F
02/26/2025 12:00:00 AM,Hollenbeck,VEHICLE - STOLEN,0,
03/21/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M
02/10/2025 12:00:00 AM,Van Nuys,BATTERY - SIMPLE ASSAULT,13,M
01/15/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/27/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/14/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",59,M
03/12/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",15,M
02/07/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/06/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/06/2025 12:00:00 AM,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
02/05/2025 12:00:00 AM,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/23/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/23/2025 12:00:00 AM,Topanga,CHILD NEGLECT (SEE 300 W.I.C.),0,M
02/10/2025 12:00:00 AM,Foothill,TRESPASSING,0,X
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/01/2025 12:00:00 AM,Northeast,THEFT OF IDENTITY,18,F
02/20/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/06/2025 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
03/01/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/17/2025 12:00:00 AM,Northeast,TRESPASSING,0,X
02/02/2025 12:00:00 AM,Northeast,THEFT PLAIN - PETTY ($950 & UNDER),33,M
02/21/2025 12:00:00 AM,Harbor,BATTERY - SIMPLE ASSAULT,15,F
02/14/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/09/2025 12:00:00 AM,West Valley,TRESPASSING,0,M
01/23/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/05/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/24/2025 12:00:00 AM,Central,CHILD NEGLECT (SEE 300 W.I.C.),4,F
01/16/2025 12:00:00 AM,77th Street,VEHICLE - STOLEN,0,
01/22/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/26/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,12,F
01/21/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/24/2025 12:00:00 AM,Harbor,BATTERY - SIMPLE ASSAULT,13,F
02/05/2025 12:00:00 AM,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/10/2025 12:00:00 AM,Mission,EXTORTION,13,M
03/19/2025 12:00:00 AM,West LA,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
01/24/2025 12:00:00 AM,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,F
01/27/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/14/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/28/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/15/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/17/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/07/2025 12:00:00 AM,Devonshire,BURGLARY,0,X
01/29/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/11/2025 12:00:00 AM,Topanga,OTHER MISCELLANEOUS CRIME,0,M
02/22/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/26/2025 12:00:00 AM,Foothill,BURGLARY FROM VEHICLE,40,M
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/04/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/24/2025 12:00:00 AM,Hollenbeck,BATTERY - SIMPLE ASSAULT,18,M
02/04/2025 12:00:00 AM,Pacific,VEHICLE - STOLEN,0,
03/18/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/14/2025 12:00:00 AM,West Valley,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M
03/26/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/03/2025 12:00:00 AM,Southeast,ARSON,0,X
01/31/2025 12:00:00 AM,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24,X
02/28/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/12/2025 12:00:00 AM,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,51,M
02/11/2025 12:00:00 AM,West Valley,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M
01/04/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/12/2025 12:00:00 AM,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,24,M
01/02/2025 12:00:00 AM,West Valley,ILLEGAL DUMPING,0,M
02/12/2025 12:00:00 AM,Mission,VIOLATION OF COURT ORDER,36,M
02/07/2025 12:00:00 AM,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,M
01/17/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/01/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/11/2025 12:00:00 AM,Mission,CHILD ANNOYING (17YRS & UNDER),14,F
01/31/2025 12:00:00 AM,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X
02/25/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/14/2025 12:00:00 AM,Newton,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,
